customer_id,test_group,send_email
0002048652,A_send_all,1
0002406099,A_send_all,1
0002959959,A_send_all,1
0002250639,A_send_all,1
0002360717,A_send_all,1
0002324178,A_send_all,1
0002165963,A_send_all,1
0002080178,A_send_all,1
0002185802,A_send_all,1
0002054293,A_send_all,1
0002932374,A_send_all,1
0002462378,A_send_all,1
0003401909,A_send_all,1
0002577126,A_send_all,1
0002124207,A_send_all,1
0002532875,A_send_all,1
0002371579,A_send_all,1
0002438623,A_send_all,1
0002098847,A_send_all,1
0002703826,A_send_all,1
0002051175,A_send_all,1
0003208067,A_send_all,1
0002458547,A_send_all,1
0002042870,A_send_all,1
0003342050,A_send_all,1
0002318932,A_send_all,1
0003336463,A_send_all,1
0002036430,A_send_all,1
0002505191,A_send_all,1
0002988594,A_send_all,1
0002575599,A_send_all,1
0002744532,A_send_all,1
0003461697,A_send_all,1
0003383093,A_send_all,1
0002125495,A_send_all,1
0002214742,A_send_all,1
0002083855,A_send_all,1
0002966255,A_send_all,1
0002124503,A_send_all,1
0002691892,A_send_all,1
0002895344,A_send_all,1
0002935982,A_send_all,1
0002426676,A_send_all,1
0002041544,A_send_all,1
0003370834,A_send_all,1
0002068026,A_send_all,1
0003353886,A_send_all,1
0003267711,A_send_all,1
0002198472,A_send_all,1
0003391296,A_send_all,1
0002178401,A_send_all,1
0002472312,A_send_all,1
0002399595,A_send_all,1
0002076592,A_send_all,1
0002859900,A_send_all,1
0002294428,A_send_all,1
0003331286,A_send_all,1
0003397061,A_send_all,1
0003080260,A_send_all,1
0002179607,A_send_all,1
0002749537,A_send_all,1
0002904673,A_send_all,1
0002097021,A_send_all,1
0002903459,A_send_all,1
0002321600,A_send_all,1
0002203495,A_send_all,1
0003414194,A_send_all,1
0002923222,A_send_all,1
0002248687,A_send_all,1
0002128047,A_send_all,1
0002268074,A_send_all,1
0003410215,A_send_all,1
0002419240,A_send_all,1
0003069418,A_send_all,1
0003020017,A_send_all,1
0002201619,A_send_all,1
0002086731,A_send_all,1
0002531957,A_send_all,1
0002249656,A_send_all,1
0002249654,A_send_all,1
0002211809,A_send_all,1
0003094570,A_send_all,1
0002550211,A_send_all,1
0002925377,A_send_all,1
0002210629,A_send_all,1
0003099581,A_send_all,1
0002532472,A_send_all,1
0003409853,A_send_all,1
0002124826,A_send_all,1
0002643376,A_send_all,1
0002043364,A_send_all,1
0003292653,A_send_all,1
0002496885,A_send_all,1
0002567366,A_send_all,1
0002176192,A_send_all,1
0003271773,A_send_all,1
0002106080,A_send_all,1
0002615603,A_send_all,1
0002352748,A_send_all,1
0002647869,A_send_all,1
0002535782,A_send_all,1
0002043446,A_send_all,1
0002970360,A_send_all,1
0002176110,A_send_all,1
0003322244,A_send_all,1
0003372222,A_send_all,1
0002627976,A_send_all,1
0002688023,A_send_all,1
0002982368,A_send_all,1
0002843559,A_send_all,1
0002764487,A_send_all,1
0002188222,A_send_all,1
0002346895,A_send_all,1
0002533875,A_send_all,1
0002934651,A_send_all,1
0002039756,A_send_all,1
0003442076,A_send_all,1
0002091689,A_send_all,1
0003197481,A_send_all,1
0002443283,A_send_all,1
0002348682,A_send_all,1
0002178752,A_send_all,1
0002124937,A_send_all,1
0003255112,A_send_all,1
0002118684,A_send_all,1
0002662337,A_send_all,1
0002843217,A_send_all,1
0002180854,A_send_all,1
0002361020,A_send_all,1
0002258339,A_send_all,1
0002375344,A_send_all,1
0002102725,A_send_all,1
0002698154,A_send_all,1
0002757246,A_send_all,1
0002124728,A_send_all,1
0003359295,A_send_all,1
0002474312,A_send_all,1
0003495322,A_send_all,1
0002719076,A_send_all,1
0002064456,A_send_all,1
0002516464,A_send_all,1
0002093378,A_send_all,1
0002659622,A_send_all,1
0002216956,A_send_all,1
0003068662,A_send_all,1
0002350484,A_send_all,1
0002442667,A_send_all,1
0003119495,A_send_all,1
0003452170,A_send_all,1
0003411820,A_send_all,1
0002647154,A_send_all,1
0002178536,A_send_all,1
0003364717,A_send_all,1
0002184210,A_send_all,1
0002514740,A_send_all,1
0002831225,A_send_all,1
0002069214,A_send_all,1
0002232859,A_send_all,1
0002121628,A_send_all,1
0002234822,A_send_all,1
0002612147,A_send_all,1
0002292062,A_send_all,1
0002036998,A_send_all,1
0002120720,A_send_all,1
0002564554,A_send_all,1
0002173631,A_send_all,1
0002176984,A_send_all,1
0002061013,A_send_all,1
0002221194,A_send_all,1
0003217645,A_send_all,1
0002471092,A_send_all,1
0002913954,A_send_all,1
0002466420,A_send_all,1
0002101086,A_send_all,1
0003459546,A_send_all,1
0002192031,A_send_all,1
0002298976,A_send_all,1
0002276118,A_send_all,1
0002210388,A_send_all,1
0002077004,A_send_all,1
0002313017,A_send_all,1
0002648842,A_send_all,1
0002627831,A_send_all,1
0003149952,A_send_all,1
0002245527,A_send_all,1
0002279445,A_send_all,1
0002412008,A_send_all,1
0002083947,A_send_all,1
0002709598,A_send_all,1
0002124559,A_send_all,1
0002404344,A_send_all,1
0002076816,A_send_all,1
0003459309,A_send_all,1
0002077089,A_send_all,1
0002339864,A_send_all,1
0002536178,A_send_all,1
0002164546,A_send_all,1
0002378311,A_send_all,1
0002398867,A_send_all,1
0002872795,A_send_all,1
0002257860,A_send_all,1
0002039632,A_send_all,1
0002161505,A_send_all,1
0002236017,A_send_all,1
0002240906,A_send_all,1
0002709632,A_send_all,1
0002983929,A_send_all,1
0002687931,A_send_all,1
